thread_message_id,message_id,agent_name,message_content,timestamp
1,1,AI-coach,Let’s discuss your goals.,2024-08-03 11:05:38.782468
2,1,AI-psychologist,How do you feel about your current progress?,2024-08-03 11:05:38.782468
3,2,AI-coach,"Our service hours are 9-5, Monday-Friday.",2024-08-03 11:05:38.782468
4,2,AI-psychologist,Is there anything specific you need help with during those hours?,2024-08-03 11:05:38.782468
5,3,AI-career-advisor,You’re welcome! Good luck!,2024-08-03 11:05:38.782468
6,6,First responder,test 1,2024-08-03 23:01:43.169709
7,6,Second responder,test 2,2024-08-03 23:01:43.487286
8,6,Third responder,test 3,2024-08-03 23:01:43.810277
9,8,First responder,test 1,2024-08-03 23:02:09.589919
10,8,Second responder,test 2,2024-08-03 23:02:09.892742
11,8,Third responder,test 3,2024-08-03 23:02:10.182429
12,10,First responder,test 1,2024-08-03 23:04:05.005630
13,10,Second responder,test 2,2024-08-03 23:04:05.320449
14,10,Third responder,test 3,2024-08-03 23:04:05.602444
15,12,First responder,test 1,2024-08-03 23:08:08.895769
16,12,Second responder,test 2,2024-08-03 23:08:09.222923
17,12,Third responder,test 3,2024-08-03 23:08:09.509174
18,14,First responder,test 1,2024-08-03 23:08:45.831048
19,14,Second responder,test 2,2024-08-03 23:08:46.153709
20,14,Third responder,test 3,2024-08-03 23:08:46.469191
21,16,First responder,test 1,2024-08-03 23:09:51.791798
22,16,Second responder,test 2,2024-08-03 23:09:52.105267
23,16,Third responder,test 3,2024-08-03 23:09:52.478363
24,18,First responder,test 1,2024-08-03 23:09:58.662077
25,18,Second responder,test 2,2024-08-03 23:09:58.967354
26,18,Third responder,test 3,2024-08-03 23:09:59.263682
27,20,First responder,test 1,2024-08-03 23:10:33.627833
28,20,Second responder,test 2,2024-08-03 23:10:33.927879
29,20,Third responder,test 3,2024-08-03 23:10:34.413049
30,22,First responder,test 1,2024-08-03 23:11:01.693143
31,22,Second responder,test 2,2024-08-03 23:11:01.993299
32,22,Third responder,test 3,2024-08-03 23:11:02.304157
33,24,First responder,test 1,2024-08-03 23:11:29.769931
